EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-144263.627,-138240.896,-105675.913,-130750.942,-144292.604,-143494.160,-144586.499,-131909.982,-0.113,0.744,-0.539,0.763,1.404,-0.122,80.000,55.000,1.000
-142341.975,-136504.130,-105014.057,-129448.312,-142375.383,-141543.222,-142638.824,-130266.203,-0.113,0.744,-0.539,0.732,1.373,-0.153,80.000,56.000,1.000
-140355.146,-134698.411,-104265.689,-128067.075,-140392.730,-139532.336,-140625.507,-128552.837,-0.113,0.744,-0.543,0.854,1.343,-0.244,80.000,57.000,1.000
-138308.796,-132829.739,-103437.332,-126612.793,-138350.571,-137467.801,-138552.392,-126775.608,-0.112,0.746,-0.541,0.854,1.373,-0.214,80.000,58.000,1.000
-136209.365,-130904.840,-102536.001,-125091.506,-136255.514,-135356.253,-136426.283,-124941.704,-0.114,0.745,-0.540,0.916,1.343,-0.061,80.000,59.000,1.000
-134063.211,-128930.254,-101568.415,-123509.609,-134114.057,-133203.848,-134254.162,-123058.862,-0.113,0.745,-0.539,0.946,1.312,-0.031,80.000,60.000,1.000
-131875.955,-126911.460,-100540.035,-121872.808,-131931.647,-131015.499,-132042.178,-121133.894,-0.111,0.747,-0.542,0.977,1.282,0.061,80.000,61.000,1.000
-129652.330,-124852.648,-99454.929,-120185.671,-129712.322,-128794.635,-129795.119,-119171.794,-0.111,0.746,-0.542,1.038,1.282,-0.061,80.000,62.000,1.000
-127396.341,-122757.106,-98316.523,-118452.400,-127459.230,-126543.695,-127516.712,-117176.097,-0.111,0.746,-0.541,1.038,1.251,0.092,80.000,63.000,1.000
-125111.170,-120627.537,-97128.000,-116676.733,-125175.186,-124264.746,-125210.099,-115149.540,-0.111,0.748,-0.540,1.007,1.343,0.122,80.000,64.000,1.000
-122799.411,-118466.467,-95892.412,-114861.592,-122862.986,-121959.930,-122878.185,-113094.577,-0.111,0.748,-0.543,1.068,1.282,0.153,80.000,65.000,1.000
-120464.045,-116277.053,-94613.369,-113010.504,-120525.908,-119631.921,-120524.049,-111014.108,-0.111,0.747,-0.543,1.068,1.251,0.122,80.000,66.000,1.000
-118108.690,-114063.394,-93295.307,-111128.294,-118167.866,-117284.081,-118151.105,-108911.759,-0.113,0.748,-0.542,1.129,1.251,0.122,80.000,67.000,1.000
-115736.760,-111829.945,-91942.729,-109219.304,-115792.950,-114920.225,-115762.949,-106791.308,-0.110,0.745,-0.538,1.007,1.129,0.153,80.000,68.000,1.000
-113351.196,-109580.968,-90559.626,-107286.467,-113405.103,-112544.400,-113363.256,-104656.250,-0.112,0.744,-0.538,1.068,1.160,0.122,80.000,69.000,1.000
-110954.878,-107320.208,-89149.370,-105332.274,-111007.976,-110160.504,-110955.566,-102509.770,-0.111,0.746,-0.540,1.068,1.251,0.153,80.000,70.000,1.000
-108550.399,-105050.355,-87714.366,-103359.145,-108604.415,-107771.581,-108542.737,-100354.529,-0.111,0.746,-0.543,1.068,1.190,0.153,80.000,71.000,1.000
-106139.494,-102772.809,-86255.888,-101368.801,-106196.023,-105379.422,-106126.502,-98192.286,-0.110,0.748,-0.540,1.068,1.129,0.183,80.000,72.000,1.000
-103723.245,-100488.352,-84774.760,-99362.250,-103783.604,-102985.045,-103707.676,-96023.996,-0.109,0.746,-0.541,1.129,1.129,0.183,80.000,73.000,1.000
-101303.203,-98198.276,-83272.555,-97341.152,-101368.304,-100589.760,-101287.090,-93850.666,-0.109,0.745,-0.539,1.160,1.251,0.244,80.000,74.000,1.000
-98882.100,-95904.844,-81752.214,-95309.166,-98952.294,-98195.736,-98866.358,-91674.161,-0.108,0.746,-0.541,1.160,1.221,0.183,80.000,75.000,1.000
-96463.101,-93610.644,-80217.245,-93270.930,-96538.198,-95805.430,-96447.689,-89496.931,-0.111,0.745,-0.541,1.160,1.221,0.092,80.000,76.000,1.000
-94048.694,-91317.831,-78670.545,-91229.623,-94128.225,-93420.754,-94033.233,-87321.045,-0.110,0.747,-0.542,1.221,1.251,0.092,80.000,77.000,1.000
-91640.731,-89028.229,-77114.222,-89186.406,-91724.110,-91043.053,-91624.797,-85147.700,-0.111,0.745,-0.543,1.251,1.282,0.153,80.000,78.000,1.000
-89240.821,-86743.677,-75550.039,-87141.953,-89327.435,-88673.517,-89223.745,-82977.489,-0.111,0.746,-0.541,1.343,1.251,0.122,80.000,79.000,1.000
-86850.236,-84465.879,-73979.590,-85097.710,-86939.614,-86313.311,-86830.861,-80810.921,-0.111,0.746,-0.541,1.312,1.251,0.183,80.000,80.000,1.000
-84469.951,-82196.196,-72404.252,-83055.519,-84561.708,-83963.423,-84446.403,-78648.722,-0.110,0.747,-0.542,1.343,1.251,0.122,80.000,81.000,1.000
-82100.895,-79935.741,-70825.114,-81016.342,-82194.398,-81624.549,-82070.512,-76491.855,-0.110,0.744,-0.537,1.404,1.221,0.122,80.000,82.000,1.000
-79743.975,-77685.543,-69243.062,-78980.309,-79838.221,-79297.191,-79703.811,-74341.732,-0.111,0.744,-0.541,1.282,1.221,0.092,80.000,83.000,1.000
-77399.926,-75446.479,-67658.920,-76947.874,-77493.825,-76981.937,-77347.818,-72200.473,-0.113,0.745,-0.540,1.373,1.160,0.092,80.000,84.000,1.000
-75069.252,-73219.211,-66073.457,-74919.879,-75161.960,-74679.596,-75004.783,-70070.554,-0.111,0.745,-0.539,1.373,1.129,0.061,80.000,85.000,1.000
-72752.538,-71004.401,-64487.524,-72896.992,-72843.496,-72391.131,-72677.171,-67954.092,-0.107,0.746,-0.538,1.404,1.190,0.061,80.000,86.000,1.000
-70450.746,-68802.904,-62902.197,-70880.021,-70539.519,-70117.507,-70367.142,-65852.490,-0.110,0.747,-0.542,1.404,1.251,0.031,80.000,87.000,1.000
-68165.007,-66615.576,-61318.579,-68870.731,-68251.242,-67859.588,-68076.211,-63766.603,-0.109,0.746,-0.541,1.495,1.160,0.092,80.000,88.000,1.000
-65896.382,-64443.123,-59737.663,-66871.857,-65979.876,-65618.279,-65805.227,-61697.123,-0.110,0.747,-0.542,1.434,1.160,0.000,80.000,89.000,1.000
-63645.893,-62286.251,-58160.450,-64885.790,-63726.636,-63394.793,-63554.601,-59644.763,-0.111,0.748,-0.544,1.434,1.160,0.031,80.000,90.000,1.000
-61414.404,-60145.755,-56587.858,-62913.293,-61492.661,-61190.584,-61324.500,-57610.032,-0.111,0.747,-0.544,1.404,1.099,-0.031,80.000,91.000,1.000
-59202.383,-58022.395,-55020.527,-60953.729,-59278.811,-59006.896,-59114.969,-55592.969,-0.111,0.748,-0.542,1.373,1.221,-0.153,80.000,92.000,1.000
-57010.010,-55916.812,-53459.061,-59006.501,-57085.669,-56844.440,-56926.131,-53593.362,-0.111,0.747,-0.541,1.373,1.221,0.000,80.000,93.000,1.000
-54837.604,-53829.612,-51904.448,-57072.235,-54913.776,-54703.418,-54758.290,-51611.205,-0.111,0.748,-0.540,1.343,1.099,-0.092,80.000,94.000,1.000
-52685.765,-51761.457,-50358.004,-55152.471,-52763.778,-52583.704,-52611.801,-49646.911,-0.112,0.748,-0.537,1.282,1.160,-0.031,80.000,95.000,1.000
-50555.245,-49713.192,-48821.086,-53248.797,-50636.420,-50485.194,-50487.028,-47701.396,-0.113,0.747,-0.540,1.343,1.160,-0.031,80.000,96.000,1.000
-48446.990,-47686.079,-47295.036,-51362.626,-48532.516,-48408.262,-48384.486,-45776.015,-0.110,0.746,-0.540,1.160,1.160,-0.061,80.000,97.000,1.000
-46362.154,-45681.694,-45781.027,-49494.853,-46452.706,-46353.827,-46304.779,-43871.934,-0.111,0.747,-0.542,1.099,1.038,-0.122,80.000,98.000,1.000
-44301.848,-43701.376,-44279.799,-47645.482,-44397.196,-44322.994,-44248.415,-41989.459,-0.109,0.749,-0.545,1.160,1.038,-0.092,80.000,99.000,1.000
-42266.944,-41745.787,-42791.698,-45814.189,-42365.903,-42316.802,-42215.829,-40128.121,-0.109,0.749,-0.544,1.221,1.068,-0.122,80.000,100.000,1.000
-40257.863,-39814.832,-41316.748,-44000.884,-40358.683,-40336.053,-40207.380,-38287.194,-0.108,0.749,-0.544,1.129,1.190,-0.061,80.000,101.000,1.000
-38274.456,-37907.863,-39854.689,-42205.781,-38375.367,-38380.995,-38223.126,-36466.151,-0.108,0.751,-0.542,1.068,1.160,-0.092,80.000,102.000,1.000
-36316.376,-36024.171,-38405.345,-40429.540,-36415.881,-36451.154,-36262.771,-34664.957,-0.109,0.748,-0.539,1.007,1.129,0.000,80.000,103.000,1.000
-34383.270,-34163.245,-36968.760,-38672.882,-34480.242,-34545.441,-34325.819,-32884.013,-0.109,0.746,-0.542,1.068,1.282,0.092,80.000,104.000,1.000
-32474.367,-32324.630,-35544.765,-36935.716,-32568.308,-32662.509,-32411.859,-31123.890,-0.109,0.745,-0.541,1.007,1.282,0.244,80.000,105.000,1.000
-30588.573,-30507.892,-34132.853,-35217.183,-30679.847,-30801.442,-30521.026,-29385.339,-0.107,0.745,-0.541,0.977,1.282,0.122,80.000,106.000,1.000
-28725.307,-28712.826,-32732.654,-33516.641,-28814.962,-28962.344,-28654.290,-27669.419,-0.107,0.745,-0.539,0.946,1.282,0.092,80.000,107.000,1.000
-26885.054,-26939.664,-31344.433,-31834.310,-26974.295,-27146.330,-26813.184,-25977.286,-0.107,0.746,-0.538,0.946,1.282,0.092,80.000,108.000,1.000
