EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
20.333,20.443,20.772,20.543,7.681,0.749,6.677,9.978,-0.153,0.989,-0.007,0.641,1.099,-0.183,93.333,109322.000,1.000
22.157,21.269,22.241,22.208,9.561,3.010,7.882,11.545,-0.152,0.988,-0.008,0.610,0.885,-0.122,93.333,109323.000,1.000
23.774,22.549,23.858,24.062,12.056,5.477,9.607,13.383,-0.152,0.989,-0.007,0.702,0.824,0.000,93.333,109324.000,1.000
24.567,23.941,24.715,24.980,13.344,6.232,11.124,13.811,-0.150,0.989,-0.012,0.732,0.702,0.031,93.333,109325.000,1.000
24.174,25.224,24.928,25.139,14.210,5.896,12.241,13.845,-0.150,0.989,-0.010,0.732,0.610,0.061,93.333,109326.000,1.000
22.616,25.971,24.737,24.989,15.520,5.739,12.742,14.567,-0.149,0.987,-0.009,0.854,0.488,0.092,93.333,109327.000,1.000
20.555,25.979,23.947,24.371,16.075,5.395,12.502,14.932,-0.149,0.988,-0.011,0.854,0.336,0.092,93.333,109328.000,1.000
18.954,25.754,22.800,23.368,15.079,4.488,12.206,14.148,-0.147,0.988,-0.007,0.946,0.336,0.153,93.333,109329.000,1.000
18.113,25.914,22.237,22.742,14.364,4.570,12.933,13.806,-0.146,0.987,-0.007,0.977,0.366,0.244,93.333,109330.000,1.000
17.403,26.339,22.565,22.675,15.729,7.063,14.870,15.389,-0.146,0.987,-0.012,1.038,0.366,0.153,93.333,109331.000,1.000
16.213,26.441,22.800,22.153,17.896,10.609,17.097,17.522,-0.146,0.990,-0.012,1.099,0.397,0.275,93.333,109332.000,1.000
14.698,26.003,22.023,20.462,18.514,12.734,18.621,17.984,-0.144,0.988,-0.010,1.068,0.397,0.214,93.333,109333.000,1.000
13.386,25.268,20.626,18.437,17.687,13.129,19.047,16.998,-0.145,0.990,-0.012,1.129,0.488,0.275,93.333,109334.000,1.000
12.518,24.356,19.483,17.315,16.986,13.060,18.302,16.172,-0.144,0.990,-0.010,1.129,0.610,0.305,93.333,109335.000,1.000
12.111,23.123,18.574,17.069,16.244,12.483,16.442,15.395,-0.141,0.988,-0.010,1.099,0.641,0.244,93.333,109336.000,1.000
12.220,21.683,17.406,16.865,14.247,10.449,14.075,13.466,-0.141,0.989,-0.013,1.160,0.793,0.214,93.333,109337.000,1.000
12.625,20.518,16.165,16.485,11.778,7.823,12.318,11.005,-0.141,0.991,-0.013,1.068,0.854,0.153,93.333,109338.000,1.000
12.645,19.856,15.372,16.168,10.870,6.733,11.747,9.849,-0.140,0.989,-0.013,1.038,0.916,0.000,93.333,109339.000,1.000
