,EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
54,-24.338,-14.96,-15.194,-11.98,-5.738,-7.1,-5.652,-3.408,-0.093,0.794,-0.488,0.732,1.221,-0.153,80.0,4151.0,1.0
55,-24.513,-14.5,-15.557,-12.451,-4.806,-6.038,-3.735,-1.886,-0.091,0.794,-0.486,0.641,1.251,-0.275,80.0,4152.0,1.0
56,-23.958,-14.36,-15.614,-12.684,-4.098,-5.248,-1.167,-0.015,-0.091,0.794,-0.488,0.671,1.282,-0.305,80.0,4153.0,1.0
57,-22.256,-14.258,-15.056,-12.15,-3.794,-5.128,1.277,1.403,-0.091,0.795,-0.484,0.671,1.221,-0.366,80.0,4154.0,1.0
58,-19.508,-14.24,-14.19,-11.537,-4.233,-6.034,2.758,1.478,-0.091,0.794,-0.485,0.702,1.19,-0.427,80.0,4155.0,1.0
59,-16.772,-14.731,-13.801,-11.736,-5.605,-7.899,3.012,0.189,-0.092,0.796,-0.485,0.702,1.312,-0.397,80.0,4156.0,1.0
60,-15.343,-15.954,-14.422,-12.528,-7.555,-10.121,2.453,-1.529,-0.093,0.794,-0.486,0.641,1.251,-0.397,80.0,4157.0,1.0
61,-15.592,-17.515,-15.871,-13.029,-9.324,-11.9,1.632,-2.778,-0.094,0.793,-0.486,0.519,1.19,-0.427,80.0,4158.0,1.0
62,-16.915,-18.714,-17.629,-13.242,-10.412,-12.689,0.747,-3.578,-0.093,0.794,-0.486,0.61,1.282,-0.458,80.0,4159.0,1.0
63,-18.548,-18.992,-19.304,-14.009,-10.866,-12.309,-0.247,-4.512,-0.095,0.795,-0.484,0.549,1.282,-0.488,80.0,4160.0,1.0
64,-20.011,-18.144,-20.657,-15.869,-10.966,-10.842,-1.264,-5.834,-0.095,0.795,-0.481,0.641,1.251,-0.458,80.0,4161.0,1.0
65,-20.928,-16.419,-21.437,-18.525,-10.857,-8.643,-2.007,-7.238,-0.094,0.794,-0.484,0.702,1.221,-0.427,80.0,4162.0,1.0
66,-20.813,-14.308,-21.274,-20.763,-10.416,-6.331,-2.219,-8.174,-0.094,0.795,-0.482,0.671,1.251,-0.397,80.0,4163.0,1.0
67,-19.305,-12.122,-19.794,-21.047,-9.395,-4.496,-1.867,-8.169,-0.097,0.797,-0.484,0.549,1.251,-0.458,80.0,4164.0,1.0
68,-16.534,-9.907,-16.898,-18.526,-7.67,-3.399,-1.076,-7.012,-0.096,0.796,-0.485,0.549,1.343,-0.488,80.0,4165.0,1.0
69,-13.037,-7.654,-12.893,-13.244,-5.372,-3.09,-0.113,-4.822,-0.096,0.796,-0.481,0.488,1.282,-0.305,80.0,4166.0,1.0
70,-9.588,-5.598,-8.559,-6.185,-2.985,-3.708,0.499,-2.196,-0.094,0.794,-0.481,0.427,1.282,-0.336,80.0,4167.0,1.0
71,-7.236,-4.306,-5.084,0.412,-1.313,-5.408,0.153,-0.288,-0.095,0.795,-0.483,0.458,1.251,-0.458,80.0,4168.0,1.0
72,-6.728,-4.083,-3.274,4.397,-0.842,-7.745,-1.167,0.103,-0.094,0.795,-0.484,0.488,1.16,-0.336,80.0,4169.0,1.0
73,-7.488,-4.313,-2.662,5.711,-1.072,-9.473,-2.519,-0.383,-0.094,0.792,-0.485,0.427,1.221,-0.214,80.0,4170.0,1.0
74,-7.994,-4.001,-2.107,5.321,-1.12,-9.571,-2.865,-0.56,-0.093,0.794,-0.484,0.427,1.221,-0.214,80.0,4171.0,1.0
75,-7.462,-2.996,-1.259,3.112,-0.892,-8.325,-2.162,-0.385,-0.094,0.795,-0.481,0.519,1.129,-0.214,80.0,4172.0,1.0
76,-6.495,-2.121,-0.731,-1.123,-1.051,-6.989,-1.269,-0.711,-0.094,0.794,-0.483,0.488,1.251,-0.153,80.0,4173.0,1.0
77,-5.977,-2.22,-1.03,-6.033,-2.14,-6.683,-1.06,-2.029,-0.094,0.795,-0.485,0.458,1.19,-0.153,80.0,4174.0,1.0
78,-5.964,-3.435,-1.903,-9.591,-4.119,-7.726,-1.797,-4.099,-0.095,0.794,-0.483,0.488,1.16,-0.061,80.0,4175.0,1.0
79,-5.814,-5.318,-2.616,-10.689,-6.443,-9.604,-3.045,-6.228,-0.094,0.794,-0.485,0.488,1.19,-0.031,80.0,4176.0,1.0
80,-4.957,-7.322,-2.554,-9.379,-8.371,-11.437,-4.006,-7.586,-0.094,0.793,-0.485,0.519,1.221,-0.122,80.0,4177.0,1.0
81,-3.335,-9.143,-1.643,-6.464,-9.398,-12.65,-4.115,-7.685,-0.094,0.792,-0.483,0.702,1.343,0.0,80.0,4178.0,1.0
82,-1.396,-10.747,-0.474,-3.272,-9.614,-13.329,-3.478,-6.832,-0.092,0.794,-0.482,0.732,1.251,-0.031,80.0,4179.0,1.0
83,0.048,-12.247,-0.011,-1.198,-9.581,-13.996,-2.746,-5.926,-0.093,0.795,-0.484,0.549,1.312,-0.061,80.0,4180.0,1.0
84,0.202,-13.703,-0.873,-0.882,-9.748,-15.014,-2.504,-5.692,-0.092,0.794,-0.486,0.549,1.343,-0.183,80.0,4181.0,1.0
85,-0.984,-14.821,-2.683,-1.674,-9.955,-16.102,-2.76,-6.111,-0.092,0.794,-0.485,0.58,1.251,-0.153,80.0,4182.0,1.0
86,-2.526,-14.965,-4.254,-2.256,-9.671,-16.528,-3.089,-6.692,-0.093,0.794,-0.483,0.641,1.129,-0.153,80.0,4183.0,1.0
87,-3.353,-13.823,-4.704,-2.034,-8.868,-15.978,-3.414,-7.319,-0.092,0.796,-0.483,0.61,1.373,-0.122,80.0,4184.0,1.0
88,-3.36,-11.912,-4.169,-1.468,-8.327,-15.015,-4.282,-8.381,-0.092,0.795,-0.486,0.641,1.312,-0.092,80.0,4185.0,1.0
89,-3.05,-10.052,-3.223,-1.145,-8.784,-14.432,-6.047,-9.856,-0.093,0.797,-0.485,0.61,1.221,-0.092,80.0,4186.0,1.0
90,-2.438,-8.488,-2.043,-1.258,-10.094,-14.399,-8.204,-11.047,-0.093,0.795,-0.48,0.61,1.343,-0.122,80.0,4187.0,1.0
91,-0.983,-6.881,-0.431,-1.568,-11.441,-14.435,-9.911,-11.514,-0.094,0.796,-0.482,0.732,1.251,-0.092,80.0,4188.0,1.0
92,1.384,-4.994,1.61,-1.441,-12.046,-13.932,-10.677,-11.451,-0.095,0.797,-0.484,0.763,1.16,-0.092,80.0,4189.0,1.0
93,3.608,-3.135,3.48,-0.645,-11.582,-12.577,-10.279,-11.016,-0.094,0.794,-0.483,0.702,1.099,-0.122,80.0,4190.0,1.0
94,4.299,-1.896,4.281,0.037,-10.124,-10.488,-8.513,-9.9,-0.094,0.796,-0.482,0.671,1.129,-0.183,80.0,4191.0,1.0
95,2.907,-1.64,3.498,-0.256,-8.001,-8.219,-5.524,-7.724,-0.093,0.796,-0.484,0.671,1.16,-0.153,80.0,4192.0,1.0
96,-0.268,-2.416,1.216,-1.609,-5.867,-6.645,-2.175,-4.73,-0.094,0.797,-0.484,0.732,1.099,-0.153,80.0,4193.0,1.0
97,-4.595,-4.076,-2.122,-3.898,-4.594,-6.416,0.39,-1.974,-0.094,0.796,-0.484,0.671,1.129,-0.305,80.0,4194.0,1.0
98,-9.027,-6.1,-5.726,-7.027,-4.621,-7.292,1.659,-0.505,-0.094,0.796,-0.482,0.61,1.129,-0.275,80.0,4195.0,1.0
99,-12.077,-7.613,-8.497,-10.204,-5.499,-8.217,2.084,-0.393,-0.094,0.794,-0.482,0.671,1.099,-0.183,80.0,4196.0,1.0
100,-12.693,-7.944,-9.591,-12.006,-6.366,-8.168,2.452,-0.812,-0.094,0.795,-0.484,0.702,1.129,-0.214,80.0,4197.0,1.0
101,-11.147,-7.084,-8.984,-11.484,-6.723,-6.873,3.063,-0.919,-0.094,0.796,-0.483,0.671,1.099,-0.122,80.0,4198.0,1.0
102,-8.706,-5.473,-7.302,-8.822,-6.516,-4.722,3.673,-0.415,-0.094,0.794,-0.479,0.763,1.16,-0.183,80.0,4199.0,1.0
103,-6.467,-3.503,-5.164,-5.163,-5.653,-2.219,4.065,0.52,-0.094,0.793,-0.479,0.732,1.19,-0.183,80.0,4200.0,1.0
104,-4.77,-1.386,-2.893,-2.039,-3.895,0.311,4.391,1.518,-0.096,0.795,-0.478,0.732,1.19,-0.153,80.0,4201.0,1.0
105,-3.496,0.762,-0.675,-0.374,-1.124,2.712,5.007,2.435,-0.094,0.798,-0.479,0.732,1.068,-0.214,80.0,4202.0,1.0
106,-2.313,2.962,1.422,0.287,2.52,4.969,6.164,3.62,-0.095,0.798,-0.483,0.732,1.007,-0.275,80.0,4203.0,1.0
107,-0.723,5.348,3.463,1.175,6.627,7.127,7.801,5.425,-0.095,0.797,-0.483,0.61,1.007,-0.214,80.0,4204.0,1.0
108,1.355,7.863,5.293,2.742,10.454,9.193,9.593,7.497,-0.096,0.799,-0.481,0.671,1.038,-0.061,80.0,4205.0,1.0
109,3.03,10.011,6.28,4.022,13.177,11.154,11.344,9.127,-0.096,0.798,-0.48,0.732,0.977,-0.061,80.0,4206.0,1.0
110,3.231,11.236,5.83,3.898,14.515,13.098,13.284,10.173,-0.096,0.797,-0.48,0.61,0.977,0.0,80.0,4207.0,1.0
111,2.097,11.563,4.144,2.621,14.983,15.104,15.794,11.156,-0.096,0.797,-0.482,0.58,1.007,0.031,80.0,4208.0,1.0
