EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-53599.651,-133801.442,-74763.092,-110343.597,-230330.942,-241186.097,-228285.482,-188388.028,-0.146,0.988,0.033,1.648,1.556,-0.336,93.333,71.000,1.000
-51599.495,-132707.444,-80937.527,-115552.380,-230219.462,-243279.646,-229579.454,-193838.523,-0.146,0.989,0.034,1.648,1.648,-0.336,93.333,72.000,1.000
-49621.310,-131531.258,-86884.523,-120542.891,-229900.182,-245094.480,-230615.736,-198897.378,-0.146,0.991,0.036,1.648,1.678,-0.275,93.333,73.000,1.000
-47671.482,-130285.814,-92616.448,-125329.840,-229397.337,-246651.459,-231419.658,-203596.207,-0.146,0.993,0.035,1.587,1.740,-0.183,93.333,74.000,1.000
-45750.975,-128981.834,-98122.920,-129904.135,-228741.607,-247974.693,-232024.200,-207984.731,-0.145,0.997,0.033,1.556,1.862,-0.183,93.333,75.000,1.000
-43853.357,-127615.847,-103386.581,-134248.520,-227928.284,-249066.174,-232426.100,-212061.373,-0.146,0.999,0.035,1.526,2.106,-0.153,93.333,76.000,1.000
-41976.946,-126185.687,-108397.816,-138352.715,-226942.439,-249922.143,-232610.445,-215803.800,-0.147,1.000,0.035,1.282,2.258,-0.061,93.333,77.000,1.000
-40128.254,-124704.078,-113161.114,-142220.358,-225803.358,-250559.953,-232597.314,-219238.731,-0.147,1.000,0.035,1.190,2.380,-0.061,93.333,78.000,1.000
-38310.104,-123183.710,-117690.170,-145864.527,-224544.066,-251004.196,-232422.254,-222417.338,-0.147,1.002,0.034,0.977,2.563,0.031,93.333,79.000,1.000
-36516.525,-121620.640,-121999.375,-149299.339,-223163.485,-251257.241,-232086.172,-225340.741,-0.146,1.002,0.036,0.763,2.686,0.000,93.333,80.000,1.000
-34743.949,-120007.108,-126100.660,-152536.738,-221640.846,-251309.506,-231568.301,-227975.521,-0.146,1.002,0.036,0.732,2.899,0.031,93.333,81.000,1.000
-32997.871,-118350.599,-130004.385,-155587.250,-219985.794,-251171.003,-230878.288,-230331.779,-0.147,1.003,0.035,0.519,3.082,0.031,93.333,82.000,1.000
-31282.882,-116664.817,-133718.386,-158458.884,-218231.202,-250866.309,-230050.754,-232459.704,-0.147,1.002,0.033,0.427,3.143,0.214,93.333,83.000,1.000
-29595.125,-114950.856,-137246.502,-161155.562,-216383.430,-250403.745,-229094.029,-234373.138,-0.147,1.000,0.035,0.366,3.174,0.275,93.333,84.000,1.000
-27931.064,-113203.581,-140591.248,-163679.778,-214423.422,-249776.490,-227989.465,-236043.386,-0.149,0.999,0.035,0.122,3.326,0.153,93.333,85.000,1.000
-26295.506,-111429.566,-143757.886,-166036.701,-212355.410,-248991.882,-226741.427,-237472.831,-0.149,0.998,0.033,0.061,3.448,0.183,93.333,86.000,1.000
-24693.350,-109641.407,-146753.741,-168233.526,-210210.722,-248072.153,-225382.865,-238708.394,-0.148,0.997,0.033,-0.122,3.540,0.183,93.333,87.000,1.000
-23120.330,-107838.388,-149584.386,-170275.706,-207998.960,-247024.455,-223925.228,-239768.885,-0.149,0.998,0.033,-0.183,3.632,0.092,93.333,88.000,1.000
-21570.317,-106010.168,-152253.386,-172166.724,-205698.210,-245836.926,-222346.707,-240622.848,-0.151,0.998,0.035,-0.122,3.784,0.031,93.333,89.000,1.000
-20045.903,-104157.803,-154765.571,-173911.349,-203303.369,-244509.600,-220641.761,-241259.467,-0.151,0.997,0.033,-0.305,3.754,0.000,93.333,90.000,1.000
