EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-15.071,-2.952,-1.925,-2.290,-3.248,-1.498,-0.518,0.295,-0.115,0.719,-0.561,1.373,1.282,-0.183,80.000,4467.000,1.000
-12.636,-2.389,-0.830,-0.994,-3.044,0.740,-0.394,1.556,-0.114,0.719,-0.562,1.617,1.251,-0.275,80.000,4468.000,1.000
-10.641,-1.491,-0.015,-0.840,-3.194,2.949,-0.280,2.192,-0.112,0.717,-0.561,1.770,1.221,-0.214,80.000,4469.000,1.000
-9.454,-0.102,0.413,-1.710,-3.449,4.715,-0.147,1.869,-0.113,0.719,-0.561,1.831,1.312,-0.275,80.000,4470.000,1.000
-8.886,1.939,0.790,-2.770,-3.181,6.119,0.243,0.845,-0.114,0.721,-0.561,1.953,1.221,-0.275,80.000,4471.000,1.000
-8.527,4.578,1.540,-3.234,-1.981,7.417,1.110,-0.239,-0.113,0.721,-0.557,2.075,1.343,-0.275,80.000,4472.000,1.000
-7.968,7.514,2.887,-2.898,0.069,8.686,2.438,-0.773,-0.112,0.723,-0.560,2.045,1.312,-0.275,80.000,4473.000,1.000
-6.880,10.310,4.792,-1.962,2.571,9.803,3.951,-0.493,-0.114,0.723,-0.558,2.197,1.282,-0.214,80.000,4474.000,1.000
-5.192,12.469,6.923,-0.676,4.978,10.609,5.271,0.418,-0.113,0.722,-0.561,2.289,1.312,-0.336,80.000,4475.000,1.000
-3.237,13.526,8.720,0.746,6.714,11.003,6.111,1.495,-0.115,0.722,-0.563,2.380,1.343,-0.427,80.000,4476.000,1.000
-1.674,13.229,9.561,1.957,7.353,10.934,6.275,2.229,-0.114,0.722,-0.566,2.380,1.251,-0.458,80.000,4477.000,1.000
-1.159,11.713,8.996,2.320,6.774,10.410,5.571,2.187,-0.113,0.725,-0.566,2.411,1.221,-0.366,80.000,4478.000,1.000
-1.850,9.551,7.033,1.289,5.200,9.603,3.903,1.090,-0.115,0.726,-0.566,2.380,1.160,-0.336,80.000,4479.000,1.000
